volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_119,0.8119008300960068,0.7905131150680625,0.6907272757135926,0.6483251876663769,0.8123857581200036,0.7872924734682322,0.7716712879765344,0.7420435920675572
volume_121,0.9213695277860607,0.9023953195343621,0.8090106465127243,0.7547908653116576,0.8774078951827975,0.8435592475010004,0.869262689827194,0.83358181078234
volume_128,0.893227054381103,0.8920774053600803,0.7158648649172329,0.6745978710381115,0.7377925657649604,0.7283052828773675,0.7822948283544322,0.7649935197585197
volume_144,0.5360719455544355,0.5117755183951156,0.6600595889036621,0.597949177617504,0.7228819568852454,0.6825143654865001,0.6396711637811143,0.5974130204997066
volume_147,0.4328664171845077,0.40331230764799875,0.5610855389961548,0.4927483978890582,0.29652159427081237,0.2822399634515851,0.4301578501504916,0.3927668896628807
volume_148,0.5090564811739471,0.47688459581909054,0.7067930035543986,0.6219919588803503,0.3684503052646269,0.31170229486685286,0.5280999299976575,0.47019294985543125
volume_159,0.8292834369561158,0.8276077572738462,0.675702815049119,0.650156555424893,0.8087612091112023,0.7913156436326345,0.7712491537054791,0.7563599854437912
volume_171,0.7830490564618094,0.7346268902422137,0.5314249189535999,0.4821587199486971,0.6658972623351804,0.606096426120965,0.6601237459168632,0.6076273454372919
volume_20,0.7521185971243283,0.7052358296441104,0.645623219318139,0.5946295087883402,0.7000011265454352,0.6528992212793705,0.6992476476626341,0.6509215199039404
volume_202,0.8252349837036064,0.7967379002727973,0.7771539314181072,0.7158421688862945,0.894885883349231,0.8553381568269095,0.8324249328236482,0.7893060753286671
volume_204,0.8721116687964281,0.8638544113369998,0.5850995360784208,0.5723648331925826,0.8319640207463402,0.813580373374515,0.7630584085403963,0.7499332059680325
volume_226,0.7411809380163584,0.727363781337033,0.6970645196969338,0.6568646304419021,0.8776217107426044,0.8377502799750289,0.7719557228186322,0.740659563917988
volume_231,0.725437496268252,0.7011760877440323,0.7920063836151021,0.7431386807233165,0.7932766511966995,0.7584254809089694,0.7702401770266846,0.7342467497921061
volume_241,0.6198927855423678,0.5958520021087299,0.6613048874984908,0.6039224710426876,0.7075275324342183,0.6617194107130439,0.6629084018250256,0.6204979612881538
volume_244,0.821303325884338,0.7757618247492202,0.7100669886764174,0.6408993314696785,0.772115357361888,0.7193603113758396,0.7678285573075478,0.7120071558649127
volume_250,0.7419355148391169,0.7419355148391169,0.6809761810973417,0.6322099962252931,0.566630048410324,0.5498520899689906,0.6631805814489277,0.6413325336778002
volume_255,0.7366704662042396,0.7017841361996865,0.708910341550479,0.6326995650412692,0.7958987023964763,0.7455442810409517,0.747159836717065,0.6933426607606358
