volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_encdec,iou_Necrosis_encdec,dice_Edema_encdec,iou_Edema_encdec,dice_Enhancing_encdec,iou_Enhancing_encdec,dice_FG_mean_encdec,iou_FG_mean_encdec
volume_1,0.7236041951397358,0.6960867608823564,0.6749855643250363,0.6209356594018492,0.6667750784464987,0.6369413575776879,0.6884549459704237,0.6513212592872979,0.8057362145840101,0.7713889711094655,0.7393896946231714,0.6762666961004767,0.8498274855327663,0.8068533198924662,0.7983177982466492,0.7515029957008028
volume_10,0.8204389760420462,0.8074963406175257,0.5246281860370505,0.4795904005995276,0.8021392217729789,0.7851945511638795,0.7157354612840252,0.6907604307936444,0.8601934092904255,0.8495464914850533,0.6849376732258708,0.6380348459372653,0.8869444382200584,0.8684893183590849,0.8106918402454516,0.7853568852604679
volume_102,0.8868949336153941,0.8684228627247472,0.5854110825781559,0.5538944688585661,0.8506773910155564,0.826655325413264,0.7743278024030354,0.7496575523321924,0.9045566072177412,0.8829396092969262,0.5688516779418769,0.5405164031364551,0.8475107146886868,0.8182885086343192,0.7736396666161016,0.7472481736892336
volume_109,0.6468061777701243,0.6241607773666294,0.6726439464365687,0.6235233879592896,0.7456757513174618,0.7234927671298179,0.6883752918413848,0.6570589774852457,0.7848158369575916,0.7625565506490993,0.6985066708102836,0.6353322758101374,0.8510823818745377,0.8192622477544299,0.7781349632141377,0.7390503580712222
volume_110,0.83531736669721,0.8291651789480435,0.4877368459054806,0.4356105108503029,0.7952211830979463,0.7797620049039741,0.706091798566879,0.6815125649007735,0.8483099407888525,0.8469374243497131,0.5636452291407882,0.5135531889544974,0.7700256260409502,0.7558484070521935,0.7273269319901969,0.7054463401188014
volume_115,0.7903865165107931,0.773414748633737,0.7093253306891103,0.6769116786156264,0.8307423172663055,0.8168908049228523,0.7768180548220697,0.7557390773907385,0.7894787573779345,0.7737662975623306,0.7087593947786104,0.6617903120876796,0.8085133776937112,0.785572175379623,0.768917176616752,0.7403762616765445
volume_120,0.8737260580899737,0.8454230860815604,0.6609018841932311,0.6179429766772246,0.798681729009059,0.7612005859667094,0.7777698904307546,0.7415222162418315,0.843577753224788,0.8028389038806024,0.6724147472422388,0.6208088549423686,0.7851243510910093,0.7295824278003918,0.7670389505193453,0.717743395541121
volume_125,0.6857449334170632,0.6465458901298567,0.6163598127916808,0.5821202751149533,0.7277046076595043,0.6928762364656246,0.6766031179560827,0.6405141339034781,0.6397885845074198,0.6150492136971415,0.6330435368623147,0.5764761226499223,0.7102243411127478,0.6657378770210639,0.6610188208274942,0.6190877377893759
volume_127,0.8330168838296989,0.8258599225415039,0.6707273668198475,0.6466374390593306,0.8095279837512721,0.7963086050127915,0.7710907448002728,0.7562686555378754,0.8407562667290263,0.839791473802217,0.7624227185680896,0.7298471588845522,0.9215031611566773,0.9047049372168374,0.8415607154845978,0.8247811899678688
volume_133,0.6327714355539935,0.5777329285610753,0.5137005600847737,0.44442015920507366,0.6196620148661188,0.5854590326401804,0.588711336834962,0.5358707068021097,0.7480446558407549,0.6937397801502555,0.6124586456609006,0.5422752499032052,0.8058171275838774,0.7657896571870579,0.7221068096951776,0.6672682290801729
