volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_tl,iou_Necrosis_tl,dice_Edema_tl,iou_Edema_tl,dice_Enhancing_tl,iou_Enhancing_tl,dice_FG_mean_tl,iou_FG_mean_tl
volume_1,0.7236041951397358,0.6960867608823564,0.6749855643250363,0.6209356594018492,0.6667750784464987,0.6369413575776879,0.6884549459704237,0.6513212592872979,0.7054097579016891,0.6749122459048392,0.6533057798427866,0.5923115436597765,0.8326452353336978,0.7976701698885863,0.7304535910260579,0.6882979864844007
volume_10,0.8204389760420462,0.8074963406175257,0.5246281860370505,0.4795904005995276,0.8021392217729789,0.7851945511638795,0.7157354612840252,0.6907604307936444,0.8651485148395286,0.8527443487929498,0.5903375853913125,0.5455157618909477,0.8563640900413816,0.8368409640791508,0.7706167300907409,0.7450336915876827
volume_102,0.8868949336153941,0.8684228627247472,0.5854110825781559,0.5538944688585661,0.8506773910155564,0.826655325413264,0.7743278024030354,0.7496575523321924,0.911941126739357,0.8896374567972923,0.5083171357853704,0.4799675000908502,0.8702263427765298,0.8436677817335764,0.7634948684337524,0.737757579540573
volume_109,0.6468061777701243,0.6241607773666294,0.6726439464365687,0.6235233879592896,0.7456757513174618,0.7234927671298179,0.6883752918413848,0.6570589774852457,0.7412294317413657,0.7169104315945245,0.611534219363053,0.5480979605118835,0.8420734926173514,0.8208275001924098,0.73161238124059,0.6952786307662726
volume_110,0.83531736669721,0.8291651789480435,0.4877368459054806,0.4356105108503029,0.7952211830979463,0.7797620049039741,0.706091798566879,0.6815125649007735,0.9187169565021379,0.9175406177573785,0.4543788855263083,0.4116804051742841,0.7156712090033513,0.7054937049724372,0.6962556836772659,0.6782382426347
volume_115,0.7903865165107931,0.773414748633737,0.7093253306891103,0.6769116786156264,0.8307423172663055,0.8168908049228523,0.7768180548220697,0.7557390773907385,0.823762728749401,0.8066106345693408,0.6989684800761965,0.6518024193214744,0.8264334369415156,0.8089262519121648,0.783054881922371,0.7557797686009933
volume_120,0.8737260580899737,0.8454230860815604,0.6609018841932311,0.6179429766772246,0.798681729009059,0.7612005859667094,0.7777698904307546,0.7415222162418315,0.8733232991215698,0.8377699714086208,0.6811926710859011,0.6341170745442299,0.8581042144274071,0.8132324700610469,0.804206728211626,0.7617065053379659
volume_125,0.6857449334170632,0.6465458901298567,0.6163598127916808,0.5821202751149533,0.7277046076595043,0.6928762364656246,0.6766031179560827,0.6405141339034781,0.7244827042319939,0.6856009725846298,0.5522541490230785,0.4942465734937855,0.7451423494902845,0.7054420225877768,0.6739597342484523,0.628429856222064
volume_127,0.8330168838296989,0.8258599225415039,0.6707273668198475,0.6466374390593306,0.8095279837512721,0.7963086050127915,0.7710907448002728,0.7562686555378754,0.8665917524013911,0.8607276047000442,0.74007252748995,0.7081219236287942,0.9252416611141888,0.9101921564733444,0.8439686470018433,0.8263472282673943
volume_133,0.6327714355539935,0.5777329285610753,0.5137005600847737,0.44442015920507366,0.6196620148661188,0.5854590326401804,0.588711336834962,0.5358707068021097,0.8486628174880485,0.797306204480834,0.6066078599218541,0.5356227517017434,0.7987489390175616,0.7639277400074529,0.751339872142488,0.6989522320633434
