volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_1,0.7309183684445346,0.6994776430248372,0.6589285919620398,0.5968684617462777,0.8434081073946029,0.8078674150938873,0.7444183559337257,0.7014045066216674
volume_10,0.8129295794882064,0.8026803468110765,0.5598816124467878,0.5153884123821862,0.8540876586373298,0.8355406439137442,0.7422996168574414,0.717869801035669
volume_102,0.925779916662557,0.9011391170592435,0.5385170009288313,0.5139953888287098,0.8832561129222918,0.8568488602610373,0.7825176768378933,0.7573277887163303
volume_109,0.7452242782180518,0.7184933800917407,0.6257512317585333,0.5581498508925441,0.7952619648360476,0.7725702898248431,0.7220791582708775,0.6830711736030426
volume_110,0.9204020801165933,0.9186640009208652,0.4625200130747245,0.4224506840715642,0.7560690957906424,0.7475251320335838,0.7129970629939868,0.6962132723420045
volume_115,0.8218275966244213,0.8048641045111655,0.6734666175656371,0.6243402261173098,0.8785563957223183,0.858069926209888,0.7912835366374589,0.7624247522794544
volume_120,0.8714419155629142,0.8335201654453696,0.6811668207126312,0.6340094847767317,0.8701137106060279,0.8228247044501065,0.8075741489605245,0.7634514515574025
volume_125,0.7431944764633682,0.7035192470001749,0.5934791798152901,0.5358590151196139,0.7719703860526973,0.7330361991914376,0.7028813474437852,0.657471487103742
volume_127,0.8638035352791625,0.8588865070190427,0.7346481119083629,0.7027697121201125,0.9072024758981428,0.8925095490573546,0.8352180410285561,0.8180552560655032
volume_133,0.8382151294763797,0.7826273135290532,0.5707727814318654,0.49960872602553685,0.8253694988544584,0.79078375949269,0.7447858032542345,0.6910065996824267
volume_138,0.7456749124312431,0.7028415608726115,0.6515980756694244,0.5986862215964905,0.8734237782389948,0.8410933262057356,0.7568989221132209,0.7142070362249459
volume_146,0.8334946434383923,0.8105104216006584,0.5688332980184354,0.5188270646776453,0.8303997878724286,0.7989115578946089,0.7442425764430854,0.7094163480576375
volume_153,0.8106518431524927,0.7973163496953201,0.7338546342350758,0.6798277524331787,0.860040503170393,0.844839734800935,0.8015156601859872,0.7739946123098113
volume_154,0.912004914469533,0.889068257893093,0.6765725699259522,0.6307624592534129,0.876808678130526,0.8367522470432316,0.8217953875086704,0.7855276547299125
volume_156,0.8710505712966965,0.8339986061602292,0.7125343269882111,0.6681292683690093,0.8367765520596854,0.7994125857838954,0.8067871501148643,0.7671801534377113
