volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_1,0.8011561819780463,0.7737104889161308,0.7059948708581985,0.6553240747372205,0.7174370812212745,0.6862757323886144,0.7415293780191731,0.7051034320139886
volume_10,0.8130879758567177,0.8016679480384401,0.6380712474989146,0.5917941448259108,0.8651572802939229,0.8474628734279362,0.7721055012165183,0.7469749887640957
volume_102,0.914950322401845,0.8959206252120225,0.6836228789046686,0.6536466001223056,0.8728172431172799,0.8466873267424517,0.8237968148079312,0.7987515173589266
volume_109,0.6717330479995548,0.6482141644086132,0.6567946777108039,0.6054101141194368,0.8113402974071318,0.7888534801176663,0.7132893410391635,0.6808259195485721
volume_110,0.8713318855245618,0.8660822241370161,0.509686559059595,0.4640421033445438,0.8375982355197851,0.8221565005410643,0.7395388933679806,0.717426942674208
volume_115,0.8336208585147524,0.8157600172116665,0.7164224373079772,0.6877717619308078,0.8740326997278712,0.8585128265255877,0.8080253318502002,0.787348201889354
volume_120,0.8729185959671961,0.8431912739887084,0.6934734310482745,0.6463106444840071,0.8561859001489865,0.8191103024078817,0.8075259757214858,0.7695374069601991
volume_125,0.7094512962579179,0.6696674352781693,0.6685872759436876,0.6340505823124123,0.779974190428258,0.7428813044147894,0.7193375875432878,0.6821997740017902
volume_127,0.844470167269592,0.8371532019423684,0.7028351891324416,0.6798454190179152,0.8754931536818463,0.8629922795115567,0.8075995033612934,0.79333030015728
volume_133,0.6936353517176499,0.6347255375789997,0.5041832158379344,0.4333822034199368,0.6773412485078303,0.6409314337976697,0.6250532720211383,0.5696797249322021
volume_138,0.4918416145844054,0.447634945851931,0.6242731847996842,0.5735127212485148,0.7033338692691489,0.6755943261322017,0.6064828895510794,0.5655806644108825
volume_146,0.7704490609902038,0.7409546762338207,0.6596398330561005,0.6189059222223113,0.7195572762971831,0.6922067793240847,0.7165487234478293,0.6840224592600722
volume_153,0.4735184149186313,0.4548926122592607,0.7215947753572306,0.6811315781229704,0.7981609661711864,0.7853753587508439,0.6644247188156828,0.6404665163776916
volume_154,0.9104256324746466,0.887057533314203,0.6171362255410039,0.5688059078063729,0.8731830458744483,0.8361413296407292,0.8002483012966997,0.7640015902537683
