volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_100,0.7707871166346326,0.7394493851320953,0.7679518326295649,0.7064788438771428,0.761816218295143,0.7167179273372254,0.7668517225197802,0.7208820521154878
volume_107,0.88711311093343,0.8776609357069831,0.6751265678136704,0.6346377386019698,0.7697607081789825,0.749039956073273,0.7773334623086943,0.7537795434607419
volume_119,0.8261017824747697,0.8061949410533364,0.7321724861291989,0.6866306802539657,0.7886688131398344,0.7633742098047244,0.7823143605812677,0.7520666103706755
volume_121,0.9169973871997315,0.8991489854619895,0.8371156230637385,0.7847485824829097,0.8503281177010426,0.8157210979097691,0.8681470426548376,0.8332062219515561
volume_128,0.9101801573901489,0.9099389861876269,0.7639539709388548,0.7199616258078996,0.7596988154985853,0.7453684054046542,0.8112776479425297,0.7917563391333936
volume_144,0.6207910553601843,0.5880487297419108,0.6417603047256737,0.5809115566766229,0.7860308951588488,0.744473586939244,0.6828607517482356,0.6378112911192592
volume_147,0.5819007927854538,0.5435261959849088,0.5746715905663945,0.5227394805512148,0.4686144974101803,0.45433211852334404,0.5417289602540096,0.5068659316864892
volume_148,0.6031005446571259,0.572372533618434,0.6526164839546605,0.5721993272034264,0.4561559004308192,0.4013941652606725,0.5706243096808685,0.5153220086941777
volume_159,0.840979978452552,0.8369351242431488,0.7062354068116363,0.6771331037187441,0.8129251904792881,0.7939128443494415,0.7867135252478255,0.7693270241037782
volume_171,0.7087658852597845,0.6607091861306273,0.4584160041460495,0.4137530194585561,0.6522728518025,0.5928786262100998,0.6064849137361114,0.5557802772664278
volume_20,0.7551424285148662,0.710592406076193,0.6595213137213786,0.6087275426944878,0.7361727849826186,0.6887873717350799,0.7169455090729545,0.6693691068352535
volume_202,0.7672978477580252,0.7374032868981064,0.7485229989108646,0.6872309600162056,0.870075354399942,0.8311302155475709,0.7952987336896106,0.7519214874872944
volume_204,0.8730535591064064,0.8662438571393213,0.6055941222288166,0.5902331760747055,0.8333449215970912,0.8169753596666122,0.770664200977438,0.7578174642935464
volume_226,0.744942491222588,0.7233909525571799,0.6876033704387908,0.6474372951694911,0.8228914262787428,0.7843241355157688,0.7518124293133739,0.71838412774748
volume_231,0.7140053879240168,0.6870828894256494,0.7454381215876733,0.6956827176332685,0.7554505693418933,0.7240090550904733,0.7382980262845278,0.7022582207164638
volume_241,0.6358714633121995,0.6043148846938113,0.685736351892341,0.6295358695400576,0.6744046165914365,0.6174313411679543,0.6653374772653257,0.6170940318006077
volume_244,0.7952251075276092,0.753126728526403,0.6898418208591729,0.6194306279642812,0.8114044547186251,0.7582750461111664,0.7654904610351357,0.7102774675339502
volume_250,0.6776037113173954,0.677512881159053,0.7157161781976009,0.6695181341417438,0.6745609445678571,0.655453177873973,0.6892936113609511,0.6674947310582566
volume_255,0.7046154463561521,0.6685458043447944,0.7110995351386591,0.6316786410417742,0.8160526858927433,0.7663581488891499,0.7439225557958514,0.6888608647585729
volume_268,0.6774193696334481,0.6774193696334481,0.6668445853138271,0.650796875004901,0.8580645284989815,0.8580645284989815,0.7341094944820855,0.7287602577124436
volume_292,0.9182820271606007,0.8853161948019075,0.6830918425552278,0.6404133756901282,0.6946153346804533,0.6758232301436444,0.7653297347987607,0.7338509335452267
volume_299,0.7995871593994599,0.7579358330107016,0.6752831463962097,0.613677510698416,0.7225807436742181,0.7225807436742181,0.7324836831566293,0.6980646957944453
volume_320,0.8665440236919782,0.8424528219999302,0.49463350331432376,0.4575295258556854,0.7415282043234974,0.7096478612008307,0.7009019104432664,0.6698767363521488
