volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_100,0.7666432199834299,0.7368791824715317,0.7325218249541119,0.6808835588249618,0.8193794323390322,0.7718277479464969,0.7728481590921914,0.7298634964143301
volume_107,0.7572505280379631,0.747397947420412,0.573357374475346,0.5301140040856401,0.78595497349152,0.7698951788697549,0.7055209586682764,0.6824690434586023
volume_119,0.8349995531355172,0.8157787211213001,0.4825645552972305,0.44133575994948804,0.7719259552008912,0.7471474370457861,0.6964966878778796,0.6680873060388581
volume_121,0.804834664643342,0.7907975644813667,0.7088706370999508,0.672308042601944,0.8293846953746329,0.8112747409050652,0.7810299990393086,0.758126782662792
volume_128,0.808065163837685,0.8047137281918632,0.6080835952916898,0.5671321078426965,0.7968632265700959,0.7825446999302454,0.7376706618998236,0.7181301786549351
volume_144,0.6296515076715009,0.5867510555321582,0.525332825600647,0.4705601224236674,0.7134391589440569,0.6754447105971726,0.6228078307387349,0.5775852961843327
volume_147,0.5524045082451507,0.5121606383865246,0.3691593558277536,0.3017685538298502,0.44044756989341444,0.41797738855481864,0.45400381132210627,0.4106355269237311
volume_148,0.4855260933381876,0.4615857760214852,0.6236155654312484,0.5325294945331313,0.4274279587301621,0.37180514871141823,0.512189872499866,0.45530680642201155
volume_159,0.7742311290517783,0.7633824653948598,0.5846884014988563,0.5504725015614367,0.7709612576394601,0.7647563037064073,0.7099602627300317,0.6928704235542347
volume_171,0.7532556285184047,0.7026665903803578,0.41030085822690054,0.3324616016702624,0.7004192942644922,0.642011212598071,0.6213252603365992,0.5590464682162305
volume_20,0.6601369023077098,0.6160488909224999,0.6043577907081956,0.5548814156832294,0.7341235319020387,0.6825987162365649,0.6662060749726479,0.6178430076140982
volume_202,0.7174618343868124,0.6797866609807716,0.5459982079686976,0.4893860156084164,0.7706758620026659,0.7406902953191884,0.6780453014527253,0.6366209906361254
volume_204,0.8380461947070611,0.829636030022984,0.3670785090607704,0.34922764226336944,0.7927869255635996,0.7765824472184093,0.6659705431104771,0.6518153731682542
volume_226,0.7264168418703412,0.6868164470187623,0.4196846207562685,0.37355932830560545,0.7446170095349547,0.7081371573068161,0.6302394907205214,0.5895043108770613
volume_231,0.6567215337965358,0.6251885596545013,0.6100118447737775,0.5627199322750683,0.7243381174378151,0.6918701370597431,0.663690498669376,0.6265928763297709
volume_241,0.5259707826994898,0.49640303729142404,0.5625719790509112,0.5013582210824897,0.5957987145948991,0.5486111306155809,0.5614471587817667,0.5154574629964982
volume_244,0.6679067061865104,0.6246521465116366,0.5973564525339745,0.5379383129122577,0.6026507481360376,0.553694776643804,0.6226379689521742,0.5720950786892327
volume_250,0.28402649102048017,0.283949150453455,0.35508903507977696,0.3011922170568011,0.41185961437232055,0.3937760683934132,0.3503250468241926,0.32630581196788977
volume_255,0.6830800093461452,0.6352001205564385,0.5596083690805808,0.48508158338352547,0.8008778396170635,0.747410500991615,0.6811887393479298,0.6225640683105264
volume_268,0.6713678213636247,0.6610327757137618,0.21172256370514145,0.1966928450457165,0.6903226985729595,0.6903226985729595,0.5244710278805753,0.516016106444146
volume_292,0.7823017483724941,0.7513540438767483,0.5171077297181012,0.46661216284267304,0.7057294802719208,0.682908810976519,0.6683796527875053,0.6336250058986468
volume_299,0.8476046764564791,0.8108830057361603,0.633251421591652,0.5734031062478798,0.7605826863407672,0.744114639454193,0.747146261462966,0.7094669171460777
volume_320,0.765788943661251,0.7392419773029955,0.3289447594952809,0.2895528522540966,0.6673205158728862,0.6337895657188618,0.5873514063431393,0.554194798425318
volume_330,0.7919864606009592,0.7598335951374947,0.44828058756886174,0.39916482645475476,0.7548387739959986,0.7548387739959986,0.6650352740552732,0.6379457318627494
volume_332,0.6719434837427382,0.6635350737508211,0.4652286356101016,0.44325049558418483,0.6633145094480146,0.6495677630723051,0.6001622096002848,0.585451110802437
volume_344,0.6766697427219036,0.6631475959119474,0.5284811680352063,0.4931061668768209,0.6697836842452833,0.6479466799875894,0.624978198334131,0.6014001475921192
volume_35,0.45038219712203237,0.41335824112838515,0.397403447729338,0.34494906119745433,0.5754976891314507,0.5273540692077061,0.47442777799427366,0.42855379051118186
volume_351,0.7528425501251523,0.7301754362248485,0.5378617048581364,0.48271849382248244,0.84004546065448,0.8127661644939994,0.7102499052125896,0.6752200315137767
volume_355,0.8306802878864868,0.8020015184919739,0.5939416385401274,0.5406649579682223,0.7990552503737435,0.7565145735989751,0.7412257256001192,0.6997270166863905
volume_38,0.7045800263657692,0.6638860564155015,0.5727301564046711,0.497156075819927,0.6710299426961417,0.6163054334938413,0.6494467084888608,0.5924491885764233
volume_43,0.6503620096231012,0.6394950214737999,0.4796905470046894,0.4402342622718461,0.7128151129579912,0.6957263908572175,0.6142892231952607,0.5918185582009544
volume_44,0.7483872010425611,0.7483872010425611,0.49056498705902163,0.4347537575620144,0.7796269604536257,0.7572422064094722,0.6728597161850695,0.6467943883380158
volume_59,0.8530258635952787,0.8411379396684469,0.613710645021344,0.5803968197215288,0.8033371073622786,0.7905008428544149,0.7566912053263004,0.7373452007481303
volume_67,0.7628790423756098,0.7283752595780776,0.662872188499584,0.6070553993020615,0.8379559117599398,0.809042477485534,0.7545690475450445,0.7148243787885578
volume_70,0.6431986262301621,0.5918497454599966,0.4405052956633518,0.36795844183945525,0.6193665577864463,0.5515620459399823,0.5676901598933201,0.5037900777464781
volume_85,0.7054951344784866,0.6854094489873774,0.5094211481422336,0.45884600831854544,0.6649323051013662,0.6378691194994256,0.6266161959073622,0.5940415256017828
volume_94,0.9249408452925831,0.9199322441391968,0.7370488488451973,0.7137856920948479,0.8945688083495488,0.8854035083463035,0.8521861674957765,0.8397071481934494
Overall_Mean,0.7070558365902895,0.6814278619690386,0.5245680885461819,0.47473545516536075,0.71200149570227,0.6822116638544774,0.6478751402795805,0.6127916603296258
