volume_id,dice_Necrosis,iou_Necrosis,dice_Edema,iou_Edema,dice_Enhancing,iou_Enhancing,dice_FG_mean,iou_FG_mean
volume_100,0.7686299024570594,0.7391992661982391,0.8465897322056936,0.7968020848862883,0.8127030281825123,0.774098193576059,0.809307554281755,0.7700331815535288
volume_107,0.8125738424106231,0.8010467975479828,0.6772978617545123,0.6437958453104697,0.8670600901234639,0.8551799888288847,0.7856439314295331,0.7666742105624457
volume_119,0.8777273375214698,0.8616205542675996,0.7680317921336745,0.7258702202739267,0.9050483354676742,0.8851708317952491,0.8502691550409395,0.8242205354455918
volume_121,0.9466934601579088,0.9364560668611511,0.8197849344294684,0.7828789309845926,0.9454966642191778,0.9321917432601504,0.9039916862688517,0.883842247035298
volume_128,0.9102810977110308,0.9056478805640865,0.7896616688633181,0.7517253745126805,0.8326160646323217,0.8163592711308558,0.8441862770688902,0.8245775087358743
volume_144,0.7043428917541832,0.6592143306230204,0.6764208979832355,0.616535253876084,0.8765223352341693,0.8484308196286555,0.7524287083238627,0.7080601347092533
volume_147,0.37461618664725094,0.3489161731507973,0.5241936507570241,0.46310161750524403,0.38107940252593697,0.35362499136398495,0.42662974664340403,0.3885475940066755
volume_148,0.5153173212448291,0.48544121973254295,0.7140389671375943,0.6320959794614069,0.5012975169035508,0.447956516100082,0.5768846017619914,0.521831238431344
volume_159,0.8156044217707782,0.811479987368333,0.7139558920436408,0.6805724351723037,0.8423445050036328,0.8254396049950623,0.7906349396060173,0.7724973425118997
volume_171,0.7206138336467626,0.6734449700405484,0.4664215199589618,0.4056241694167026,0.7603962439078523,0.6997467498124269,0.6491438658378589,0.5929386297565593
volume_20,0.7633729357486269,0.7211347055981343,0.6696389774667837,0.6206634888941474,0.79504902247996,0.7430477007044024,0.7426869785651234,0.6949486317322281
volume_202,0.8179068996245417,0.7823938605474844,0.7509297825706693,0.6986404421931532,0.9322323478468173,0.9051281487864871,0.8336896766806761,0.7953874838423749
volume_204,0.8560708543769845,0.84612651019856,0.6718827930815926,0.654574857390891,0.8038526471380923,0.7912194014435527,0.7772687648655564,0.7639735896776679
volume_226,0.7207723689533041,0.682656590952609,0.5793016408768754,0.5387278515614294,0.8487968752078799,0.8182486527891536,0.7162902950126864,0.6798776984343974
volume_231,0.7765127313927968,0.7416549083008059,0.7954105106558623,0.7573732854689662,0.8046241739236596,0.7772365863642093,0.7921824719907729,0.758754926711327
volume_241,0.6916437744683652,0.6445040905338435,0.7279655195751986,0.6734768123487661,0.7614643930962302,0.70998870481376,0.7270245623799313,0.6759898692321232
volume_244,0.7769424457291748,0.7363378140893129,0.770246769182286,0.7187563492768976,0.8261946339731628,0.7808993404826253,0.7911279496282079,0.7453311679496119
volume_250,0.3486662196277218,0.34852775941878794,0.48866518008952614,0.4385380530099457,0.5272944852096206,0.5102461138605671,0.4548752949756229,0.43243730876310027
volume_255,0.7151902290537181,0.6715025212583938,0.7485503321085774,0.6740953140686227,0.8572114978726142,0.8147751834943747,0.7736506863449698,0.7201243396071304
volume_268,0.7515825987140862,0.7501446479485692,0.6239844278775648,0.6014263601017443,0.858064537809939,0.858064537809939,0.7445438548005301,0.7365451819534174
volume_292,0.8796694487609676,0.8463038230112396,0.6751177486707883,0.6285620991288978,0.74538465552511,0.7201191281259507,0.766723950985622,0.7316616834220293
volume_299,0.7836546825357531,0.7519109402413325,0.7168334765068002,0.6551914939252231,0.6838710574377658,0.6838710574377658,0.728119738826773,0.6969911638681071
volume_320,0.8011027007926421,0.7759248839727956,0.44198825184273977,0.40898078022448925,0.7507933825485127,0.7220781156129458,0.6646281117279649,0.6356612599367435
volume_330,0.8043541396638765,0.7777899510846211,0.6578900547828157,0.6095397502194068,0.8193548929075083,0.8193548929075083,0.7605330291180669,0.7355615314038454
