volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_tl,iou_Necrosis_tl,dice_Edema_tl,iou_Edema_tl,dice_Enhancing_tl,iou_Enhancing_tl,dice_FG_mean_tl,iou_FG_mean_tl,dice_Necrosis_base,iou_Necrosis_base,dice_Edema_base,iou_Edema_base,dice_Enhancing_base,iou_Enhancing_base,dice_FG_mean_base,iou_FG_mean_base
volume_204,0.8473625867806629,0.8393852289365517,0.5554024156687449,0.5464682072134321,0.6934854186948551,0.6826284150042647,0.698750140381421,0.6894939503847496,0.8706758775125266,0.8609894209751543,0.4697444269988552,0.453956391986551,0.7890294227552194,0.7744473046135819,0.7098165757555337,0.6964643725250957,,,,,,,,
volume_226,0.7114580048875712,0.6745050302796827,0.5297454467761776,0.49121741095359445,0.7708103541033088,0.7426618219637285,0.6706712685890192,0.6361280877323352,0.7157959522971395,0.677402727756152,0.4219982537434258,0.3779984099474672,0.8055897127956182,0.7650792639062106,0.6477946396120612,0.60682680053661,,,,,,,,
volume_231,0.779758133853573,0.7441067430027367,0.7454242688161236,0.7074835990149174,0.8096829379606599,0.7861861455920481,0.7782884468767854,0.7459254958699006,0.6604851067343983,0.629596934881838,0.6371063581955728,0.5997056194242337,0.7178367594899863,0.6870191066501462,0.6718094081399858,0.638773886985406,,,,,,,,
volume_241,0.6193852566759633,0.5753203243419309,0.716351782293332,0.6636193413028569,0.6865833632832414,0.6331621828869879,0.6741068007508456,0.6240339495105919,0.5761638005535982,0.5570326296191898,0.6660485734098109,0.6084873618823424,0.659305513492391,0.608024536998928,0.6338392958186,0.5911815095001535,,,,,,,,
volume_244,0.8896769460085187,0.8537941068467361,0.844627931989558,0.7981404594089109,0.8700600179572179,0.8254149855492486,0.8681216319850982,0.8257831839349653,0.7054092219709377,0.661590085075701,0.6888435021902842,0.634706156864931,0.7386437081903732,0.6912295870418986,0.7109654774505317,0.6625086096608436,,,,,,,,
volume_250,0.18721889796893415,0.1871581709809399,0.3949061120630433,0.34393616581677955,0.24859886620113217,0.23114630314593299,0.27690795874436985,0.25408021331455083,0.40042726963051106,0.4002163006928228,0.3456687307511448,0.28611404384733113,0.43818143461450704,0.419140113549954,0.39475914499872095,0.36849015269670266,,,,,,,,
volume_255,0.7355314770361524,0.6953009181028046,0.7135394771963751,0.6394812827599066,0.8224985384170413,0.7828131837974299,0.7571898308831896,0.7058651282200471,0.7156018465398122,0.6722864989474702,0.5907573626519272,0.5135532848759986,0.8153171196346016,0.7654622120775674,0.7072254429421136,0.6504339986336787,,,,,,,,
volume_268,0.5746895710376314,0.5654242759752865,0.32347102555822016,0.30191965127367254,0.496774295554635,0.496774295554635,0.4649782973834955,0.4547060742678647,0.6158442697704674,0.602113001566515,0.19504767911407514,0.1831754900727947,0.6516129963026142,0.6516129963026142,0.48750164839571886,0.4789671626473079,,,,,,,,
volume_292,0.8842541833182183,0.853414231491348,0.5471473185915036,0.5100507987058102,0.689922308794539,0.6697633365358878,0.7071079369014203,0.6777427889110152,0.7214405643544952,0.6891110153520904,0.5209573778241334,0.47437775967705714,0.7431491482620298,0.720023676955814,0.6618490301468862,0.6278374839949872,,,,,,,,
volume_299,0.8128460236236537,0.7670671042839668,0.6572233262457561,0.5967135699634794,0.6265850444064905,0.6106662313292776,0.6988847980919668,0.6581489685255746,0.8175829768513513,0.780165965676352,0.5912955347109573,0.5309005302014883,0.7984767909560322,0.7838770667035387,0.735785100839447,0.6983145208604596,,,,,,,,
volume_320,0.7453039549335263,0.7229975450135093,0.3528024091283896,0.3211486233667022,0.7017860548300483,0.6756251921225171,0.5999641396306548,0.5732571201675762,0.6874270187260928,0.6659414310739912,0.3072460896118328,0.2835742294751616,0.7263934494745005,0.6998107572247492,0.573688852604142,0.5497754725913007,,,,,,,,
volume_330,0.7217107779350959,0.691978444219336,0.6194834565792927,0.5666377684228792,0.8322580928738351,0.8322580928738351,0.7244841091294079,0.6969581018386835,0.752036564528433,0.7231643629241783,0.38253316481020433,0.33524360255844765,0.774193592961644,0.774193592961644,0.6362544407667604,0.61086718614809,,,,,,,,
volume_332,0.7434568775673542,0.7397474779836943,0.535354928537546,0.5120407504714874,0.5298969662341048,0.5108762314304008,0.6029029241130017,0.5875548199618609,0.7228108832983303,0.7169816631900848,0.4725763874095455,0.44211245623974293,0.7301269771047408,0.7185992493699795,0.6418380826042056,0.6258977895999357,,,,,,,,
volume_344,0.3733454454194074,0.360806494573372,0.43512488503285685,0.3900503293241267,0.594987701937262,0.5733631103003787,0.4678193441298421,0.44140664473262575,0.582331758715941,0.5646022459976384,0.5619169605880808,0.5256210507626607,0.6537125455847401,0.6342244583984135,0.5993204216295873,0.5748159183862375,,,,,,,,
volume_35,0.614892626585925,0.5805495594545962,0.5438406754286365,0.49226284853189045,0.6078609824345683,0.5590923845967295,0.5888647614830432,0.5439682641944054,0.6191788710198606,0.5798127454275039,0.3952932435178995,0.34456431711507596,0.5416870201038206,0.49374083229240295,0.5187197115471937,0.4727059649449943,,,,,,,,
volume_351,0.8075384969474124,0.7865658378927886,0.6819752521124363,0.6367820570496086,0.8476629196273143,0.8289554699223218,0.7790588895623877,0.7507677882882396,0.7095303031844175,0.6931426272851617,0.6080126421256712,0.5560285221447281,0.8817484489018572,0.8557920159199506,0.7330971314039819,0.7016543884499468,,,,,,,,
volume_355,0.8064252914347824,0.7833901800039305,0.679765311492276,0.6315841912970704,0.7642910697004187,0.7328893314704826,0.7501605575424923,0.7159545675904946,0.7668545578602913,0.7341839707846388,0.5762144372549963,0.5225416123722326,0.7576320018519598,0.7137452466414395,0.7002336656557491,0.6568236099327702,,,,,,,,
volume_38,0.7961519074074046,0.7504904066104758,0.7928590574156271,0.7243135413658817,0.7910807450674687,0.738472231202547,0.7933639032968335,0.7377587263929681,0.7203160597149972,0.6797520262440823,0.5204170807819548,0.4445859539974187,0.6649226941949503,0.6121672907549446,0.6352186115639674,0.5788350903321485,,,,,,,,
