volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_encdec,iou_Necrosis_encdec,dice_Edema_encdec,iou_Edema_encdec,dice_Enhancing_encdec,iou_Enhancing_encdec,dice_FG_mean_encdec,iou_FG_mean_encdec
volume_100,0.7686299024570594,0.7391992661982391,0.8465897322056936,0.7968020848862883,0.8127030281825123,0.774098193576059,0.809307554281755,0.7700331815535288,0.7707871166346326,0.7394493851320953,0.7679518326295649,0.7064788438771428,0.761816218295143,0.7167179273372254,0.7668517225197802,0.7208820521154878
volume_107,0.8125738424106231,0.8010467975479828,0.6772978617545123,0.6437958453104697,0.8670600901234639,0.8551799888288847,0.7856439314295331,0.7666742105624457,0.88711311093343,0.8776609357069831,0.6751265678136704,0.6346377386019698,0.7697607081789825,0.749039956073273,0.7773334623086943,0.7537795434607419
volume_119,0.8777273375214698,0.8616205542675996,0.7680317921336745,0.7258702202739267,0.9050483354676742,0.8851708317952491,0.8502691550409395,0.8242205354455918,0.8261017824747697,0.8061949410533364,0.7321724861291989,0.6866306802539657,0.7886688131398344,0.7633742098047244,0.7823143605812677,0.7520666103706755
volume_121,0.9466934601579088,0.9364560668611511,0.8197849344294684,0.7828789309845926,0.9454966642191778,0.9321917432601504,0.9039916862688517,0.883842247035298,0.9169973871997315,0.8991489854619895,0.8371156230637385,0.7847485824829097,0.8503281177010426,0.8157210979097691,0.8681470426548376,0.8332062219515561
volume_128,0.9102810977110308,0.9056478805640865,0.7896616688633181,0.7517253745126805,0.8326160646323217,0.8163592711308558,0.8441862770688902,0.8245775087358743,0.9101801573901489,0.9099389861876269,0.7639539709388548,0.7199616258078996,0.7596988154985853,0.7453684054046542,0.8112776479425297,0.7917563391333936
volume_144,0.7043428917541832,0.6592143306230204,0.6764208979832355,0.616535253876084,0.8765223352341693,0.8484308196286555,0.7524287083238627,0.7080601347092533,0.6207910553601843,0.5880487297419108,0.6417603047256737,0.5809115566766229,0.7860308951588488,0.744473586939244,0.6828607517482356,0.6378112911192592
volume_147,0.37461618664725094,0.3489161731507973,0.5241936507570241,0.46310161750524403,0.38107940252593697,0.35362499136398495,0.42662974664340403,0.3885475940066755,0.5819007927854538,0.5435261959849088,0.5746715905663945,0.5227394805512148,0.4686144974101803,0.45433211852334404,0.5417289602540096,0.5068659316864892
volume_148,0.5153173212448291,0.48544121973254295,0.7140389671375943,0.6320959794614069,0.5012975169035508,0.447956516100082,0.5768846017619914,0.521831238431344,0.6031005446571259,0.572372533618434,0.6526164839546605,0.5721993272034264,0.4561559004308192,0.4013941652606725,0.5706243096808685,0.5153220086941777
volume_159,0.8156044217707782,0.811479987368333,0.7139558920436408,0.6805724351723037,0.8423445050036328,0.8254396049950623,0.7906349396060173,0.7724973425118997,0.840979978452552,0.8369351242431488,0.7062354068116363,0.6771331037187441,0.8129251904792881,0.7939128443494415,0.7867135252478255,0.7693270241037782
volume_171,0.7206138336467626,0.6734449700405484,0.4664215199589618,0.4056241694167026,0.7603962439078523,0.6997467498124269,0.6491438658378589,0.5929386297565593,0.7087658852597845,0.6607091861306273,0.4584160041460495,0.4137530194585561,0.6522728518025,0.5928786262100998,0.6064849137361114,0.5557802772664278
volume_20,0.7633729357486269,0.7211347055981343,0.6696389774667837,0.6206634888941474,0.79504902247996,0.7430477007044024,0.7426869785651234,0.6949486317322281,0.7551424285148662,0.710592406076193,0.6595213137213786,0.6087275426944878,0.7361727849826186,0.6887873717350799,0.7169455090729545,0.6693691068352535
volume_202,0.8179068996245417,0.7823938605474844,0.7509297825706693,0.6986404421931532,0.9322323478468173,0.9051281487864871,0.8336896766806761,0.7953874838423749,0.7672978477580252,0.7374032868981064,0.7485229989108646,0.6872309600162056,0.870075354399942,0.8311302155475709,0.7952987336896106,0.7519214874872944
volume_204,0.8560708543769845,0.84612651019856,0.6718827930815926,0.654574857390891,0.8038526471380923,0.7912194014435527,0.7772687648655564,0.7639735896776679,0.8730535591064064,0.8662438571393213,0.6055941222288166,0.5902331760747055,0.8333449215970912,0.8169753596666122,0.770664200977438,0.7578174642935464
volume_226,0.7207723689533041,0.682656590952609,0.5793016408768754,0.5387278515614294,0.8487968752078799,0.8182486527891536,0.7162902950126864,0.6798776984343974,0.744942491222588,0.7233909525571799,0.6876033704387908,0.6474372951694911,0.8228914262787428,0.7843241355157688,0.7518124293133739,0.71838412774748
volume_231,0.7765127313927968,0.7416549083008059,0.7954105106558623,0.7573732854689662,0.8046241739236596,0.7772365863642093,0.7921824719907729,0.758754926711327,0.7140053879240168,0.6870828894256494,0.7454381215876733,0.6956827176332685,0.7554505693418933,0.7240090550904733,0.7382980262845278,0.7022582207164638
volume_241,0.6916437744683652,0.6445040905338435,0.7279655195751986,0.6734768123487661,0.7614643930962302,0.70998870481376,0.7270245623799313,0.6759898692321232,0.6358714633121995,0.6043148846938113,0.685736351892341,0.6295358695400576,0.6744046165914365,0.6174313411679543,0.6653374772653257,0.6170940318006077
volume_244,0.7769424457291748,0.7363378140893129,0.770246769182286,0.7187563492768976,0.8261946339731628,0.7808993404826253,0.7911279496282079,0.7453311679496119,0.7952251075276092,0.753126728526403,0.6898418208591729,0.6194306279642812,0.8114044547186251,0.7582750461111664,0.7654904610351357,0.7102774675339502
volume_250,0.3486662196277218,0.34852775941878794,0.48866518008952614,0.4385380530099457,0.5272944852096206,0.5102461138605671,0.4548752949756229,0.43243730876310027,0.6776037113173954,0.677512881159053,0.7157161781976009,0.6695181341417438,0.6745609445678571,0.655453177873973,0.6892936113609511,0.6674947310582566
volume_255,0.7151902290537181,0.6715025212583938,0.7485503321085774,0.6740953140686227,0.8572114978726142,0.8147751834943747,0.7736506863449698,0.7201243396071304,0.7046154463561521,0.6685458043447944,0.7110995351386591,0.6316786410417742,0.8160526858927433,0.7663581488891499,0.7439225557958514,0.6888608647585729
volume_268,0.7515825987140862,0.7501446479485692,0.6239844278775648,0.6014263601017443,0.858064537809939,0.858064537809939,0.7445438548005301,0.7365451819534174,0.6774193696334481,0.6774193696334481,0.6668445853138271,0.650796875004901,0.8580645284989815,0.8580645284989815,0.7341094944820855,0.7287602577124436
